"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
4,2,5,6,2,5,3,4,9,6
6,14,6,8,8,7,8,11,14,15
0,3,1,1,2,2,0,2,1,4
0,8,0,3,9,7,1,7,7,12
3,3,1,2,3,3,3,3,5,3
3,5,0,5,3,2,2,5,10,8
8,13,8,13,9,20,10,15,34,28
7,5,3,13,6,6,6,10,13,15
14,10,9,13,6,12,10,11,23,14
0,3,1,0,1,1,0,1,2,1
1,10,0,1,4,5,0,5,5,7
2,5,1,4,4,4,3,3,6,7
2,4,3,2,3,3,2,5,5,5
2,6,0,2,6,3,1,4,4,6
1,1,0,2,3,3,1,0,2,4
8,17,7,16,15,14,12,11,21,30
3,7,4,7,4,5,3,3,11,9
4,3,3,5,4,3,4,3,8,9
1,2,1,2,0,3,1,2,3,6
2,5,2,5,1,3,2,1,7,6
5,7,3,9,5,3,3,3,8,10
7,5,4,7,1,2,1,2,9,1
1,7,0,1,6,4,2,5,5,11
1,4,1,4,4,7,2,5,10,4
1,5,2,3,2,2,1,2,5,8
1,4,0,2,4,3,1,5,5,7
4,5,2,6,3,5,2,1,6,6
2,8,1,5,5,6,4,5,9,10
3,8,5,6,5,6,5,6,12,15
2,3,2,2,2,4,2,2,6,4
2,2,2,6,1,6,2,4,12,4
1,4,1,4,5,5,4,4,8,12
3,5,3,5,2,3,2,5,9,8
3,7,5,10,7,10,7,6,18,15
7,8,7,10,6,7,2,8,13,11
3,5,3,7,3,5,3,4,8,6
0,5,0,0,2,3,2,3,4,5
0,4,0,0,1,1,1,1,1,3
3,2,2,4,1,2,1,3,6,2
4,5,3,7,3,4,2,8,9,9
3,6,3,4,3,4,3,5,6,11
1,4,2,3,6,7,3,8,7,10
3,4,1,3,1,1,2,2,5,3
2,2,0,3,1,4,5,1,8,5
0,3,1,1,2,2,3,2,3,4
1,4,1,4,3,4,1,4,4,5
6,7,2,5,6,7,2,5,9,11
5,9,3,5,7,4,7,5,9,12
5,7,2,7,6,9,6,12,14,11
0,5,1,5,2,3,0,7,8,7
0,1,1,2,1,2,0,1,4,2
4,5,2,7,2,3,2,9,8,10
1,2,0,2,0,2,4,1,4,1
6,17,5,8,10,9,9,9,17,26
4,10,4,7,8,8,4,8,10,12
2,3,2,4,6,6,3,8,8,8
0,1,0,0,1,2,0,1,2,1
1,4,2,1,1,4,1,4,6,4
0,3,1,0,2,1,3,2,2,3
0,5,1,4,5,2,3,5,6,6
1,2,2,2,1,4,1,2,5,1
6,10,1,4,6,3,4,10,8,10
7,8,3,8,3,6,6,4,13,12
1,1,3,3,1,2,1,1,5,2
2,3,2,2,2,4,0,3,7,3
2,4,3,3,2,2,3,3,6,6
2,2,2,3,1,3,2,4,6,5
4,8,4,7,8,7,5,10,11,13
1,2,2,4,0,3,1,3,6,4
1,10,1,1,6,0,1,6,5,10
1,7,1,4,6,5,1,3,6,6
12,15,10,24,14,20,9,26,29,43
3,7,2,4,5,6,3,3,8,8
2,3,2,2,1,6,0,4,9,7
1,4,1,3,4,2,2,4,4,4
2,3,2,4,2,3,0,4,7,3
7,8,9,5,6,5,5,7,18,13
1,2,0,3,2,3,1,5,8,6
1,1,0,0,0,0,0,1,1,3
1,3,1,5,4,5,1,3,7,6
1,1,0,2,1,3,0,2,6,1
2,7,2,3,4,3,4,5,3,7
3,9,2,4,7,4,7,4,6,8
3,7,3,4,5,6,5,7,5,10
7,6,2,9,6,8,1,5,13,12
1,2,1,3,1,3,0,2,4,3
1,1,1,2,1,3,1,1,5,2
2,4,1,2,2,2,3,1,6,7
1,4,0,1,3,1,1,0,2,5
2,6,1,2,3,3,1,5,3,7
0,4,0,2,3,0,2,3,2,3
4,5,4,5,2,4,4,4,8,5
18,28,11,27,18,19,11,32,37,52
4,6,4,4,5,6,4,5,14,6
0,4,0,4,1,4,1,3,5,6
2,1,1,2,1,4,2,4,5,3
2,5,0,2,2,3,0,4,7,5
1,1,2,2,0,4,1,1,7,3
0,3,1,4,0,0,0,1,3,1
3,3,3,4,3,3,1,3,8,5
4,4,1,4,4,1,1,1,5,4
2,10,5,4,8,3,3,8,7,10
2,3,2,6,2,3,2,3,6,6
3,6,2,5,2,3,3,4,6,5
2,8,3,4,5,4,1,8,5,8
2,4,1,2,3,2,3,1,3,3
